[2025-07-25 07:43:40,579: INFO: main: Welcome to our custom log:]
[2025-07-27 09:09:49,577: INFO: common: yaml file: config\config.yaml loaded successfully:]
[2025-07-27 09:09:49,586: INFO: common: yaml file: params.yaml loaded successfully:]
[2025-07-27 09:09:49,588: INFO: common: created directory at: artifacts:]
[2025-07-27 09:09:49,590: INFO: common: created directory at: artifacts/data_ingestion:]
[2025-07-27 09:09:49,592: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip:]
[2025-07-27 09:10:41,571: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip:]
[2025-07-27 09:44:48,994: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<:]
[2025-07-27 09:44:49,004: INFO: common: yaml file: config\config.yaml loaded successfully:]
[2025-07-27 09:44:49,013: INFO: common: yaml file: params.yaml loaded successfully:]
[2025-07-27 09:44:49,013: INFO: common: created directory at: artifacts:]
[2025-07-27 09:44:49,014: INFO: common: created directory at: artifacts/data_ingestion:]
[2025-07-27 09:44:49,014: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip:]
[2025-07-27 09:45:04,250: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip:]
[2025-07-27 09:45:04,622: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x:]
[2025-07-27 12:09:39,574: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<:]
[2025-07-27 12:09:39,577: INFO: common: yaml file: config\config.yaml loaded successfully:]
[2025-07-27 12:09:39,579: INFO: common: yaml file: params.yaml loaded successfully:]
[2025-07-27 12:09:39,580: INFO: common: created directory at: artifacts:]
[2025-07-27 12:09:39,581: INFO: common: created directory at: artifacts/data_ingestion:]
[2025-07-27 12:09:39,581: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip:]
[2025-07-27 12:09:57,920: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip:]
[2025-07-27 12:09:58,696: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x:]
[2025-07-27 12:09:58,696: INFO: main: *******************:]
[2025-07-27 12:09:58,697: INFO: main: >>>>>> stage Prepare base model started <<<<<<:]
[2025-07-27 12:09:58,697: ERROR: main: name 'PrepareBaseModelTrainingPipeline' is not defined:]
Traceback (most recent call last):
  File "main.py", line 28, in <module>
    prepare_base_model = PrepareBaseModelTrainingPipeline()
NameError: name 'PrepareBaseModelTrainingPipeline' is not defined
[2025-07-27 12:11:16,442: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<:]
[2025-07-27 12:11:16,445: INFO: common: yaml file: config\config.yaml loaded successfully:]
[2025-07-27 12:11:16,447: INFO: common: yaml file: params.yaml loaded successfully:]
[2025-07-27 12:11:16,448: INFO: common: created directory at: artifacts:]
[2025-07-27 12:11:16,449: INFO: common: created directory at: artifacts/data_ingestion:]
[2025-07-27 12:11:16,450: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip:]
[2025-07-27 12:11:34,786: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip:]
[2025-07-27 12:11:35,570: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x:]
[2025-07-27 12:11:35,570: INFO: main: *******************:]
[2025-07-27 12:11:35,570: INFO: main: >>>>>> stage Prepare base model started <<<<<<:]
[2025-07-27 12:11:35,573: INFO: common: yaml file: config\config.yaml loaded successfully:]
[2025-07-27 12:11:35,576: INFO: common: yaml file: params.yaml loaded successfully:]
[2025-07-27 12:11:35,577: INFO: common: created directory at: artifacts:]
[2025-07-27 12:11:35,577: INFO: common: created directory at: artifacts/prepare_base_model:]
[2025-07-27 12:11:36,322: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.:]
[2025-07-27 12:11:36,587: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x:]
[2025-07-28 11:17:38,433: INFO: common: yaml file: config\config.yaml loaded successfully:]
[2025-07-28 11:17:38,447: INFO: common: yaml file: params.yaml loaded successfully:]
[2025-07-28 11:17:38,449: INFO: common: created directory at: artifacts:]
[2025-07-28 11:17:38,451: INFO: common: created directory at: artifacts\training:]
[2025-07-28 11:19:32,583: INFO: common: yaml file: config\config.yaml loaded successfully:]
[2025-07-28 11:19:32,585: INFO: common: yaml file: params.yaml loaded successfully:]
[2025-07-28 11:19:32,586: INFO: common: created directory at: artifacts:]
[2025-07-28 11:19:32,587: INFO: common: created directory at: artifacts\training:]
[2025-07-28 11:23:20,581: INFO: common: yaml file: D:\ML Projects\KidneyDiseaseDL\KidneyDiseaseEndtoEndDL\config\config.yaml loaded successfully:]
[2025-07-28 11:25:15,965: INFO: common: yaml file: D:\ML Projects\KidneyDiseaseDL\KidneyDiseaseEndtoEndDL\config\config.yaml loaded successfully:]
